mid,time,radiant_team,dire_team,radiant_win
5506633202,2020-07-10 15:59:58,"15,70,62,26,98","34,121,84,23,16",True
5506633018,2020-07-10 15:59:49,"17,119,39,7,6","74,104,111,22,67",False
5506632910,2020-07-10 15:59:43,"67,46,53,64,87","109,101,7,20,126",True
5506632903,2020-07-10 15:59:17,"126,62,86,111,1","67,3,15,83,114",True
5506632609,2020-07-10 15:59:04,"91,93,19,40,37","101,44,106,9,104",True
5506632019,2020-07-10 15:58:34,"11,14,30,38,73","41,84,86,72,114",True
5506631718,2020-07-10 15:58:07,"37,121,39,42,53","126,31,25,41,86",True
5506631207,2020-07-10 15:57:38,"32,87,84,88,76","107,2,3,95,17",True
5506630705,2020-07-10 15:56:58,"30,101,6,47,93","59,21,88,70,77",True
5506629604,2020-07-10 15:55:43,"36,64,40,15,97","44,2,22,30,37",True
5506629313,2020-07-10 15:55:27,"3,12,106,96,64","111,65,129,93,74",False
5506629007,2020-07-10 15:55:14,"23,43,53,54,101","126,42,25,28,31",False
5506628906,2020-07-10 15:55:07,"119,42,48,128,47","15,95,19,68,86",True
5506628900,2020-07-10 15:54:53,"69,31,101,104,93","77,40,88,64,9",True
5506628102,2020-07-10 15:54:02,"22,16,25,47,11","109,75,6,56,126",True
5506628012,2020-07-10 15:53:52,"104,121,51,70,17","14,21,54,5,74",True
5506628004,2020-07-10 15:54:03,"66,83,67,45,68","5,7,29,17,109",False
5506627405,2020-07-10 15:53:23,"99,74,83,93,9","29,3,8,86,17",False
5506627312,2020-07-10 15:53:18,"42,22,80,79,49","64,104,9,95,41",True
5506627006,2020-07-10 15:52:48,"7,55,22,84,10","36,34,70,58,9",True
5506626611,2020-07-10 15:52:28,"15,22,63,64,41","96,95,26,121,72",True
5506626319,2020-07-10 15:52:08,"1,90,84,17,70","48,108,100,31,74",False
5506626302,2020-07-10 15:52:03,"7,1,43,68,104","35,18,29,87,62",False
5506625902,2020-07-10 15:51:38,"70,128,4,120,90","109,78,106,30,107",False
5506625818,2020-07-10 15:51:33,"51,39,56,67,84","21,86,13,6,65",True
5506625714,2020-07-10 15:51:26,"32,86,106,31,104","93,46,63,7,28",False
5506625518,2020-07-10 15:51:08,"23,105,126,3,109","35,84,89,34,2",True
5506625415,2020-07-10 15:51:03,"35,113,7,54,83","64,10,95,121,99",True
5506625401,2020-07-10 15:50:46,"7,104,11,84,109","10,126,21,25,111",True
5506625315,2020-07-10 15:50:57,"23,100,41,126,27","13,99,67,75,79",True
5506624615,2020-07-10 15:50:03,"53,39,95,79,16","59,37,70,83,110",False
5506624400,2020-07-10 15:49:53,"98,7,67,30,39","87,47,41,110,96",False
5506624302,2020-07-10 15:49:48,"9,28,21,64,1","106,36,37,101,70",True
5506624104,2020-07-10 15:49:31,"70,71,102,62,46","104,105,30,67,39",False
5506624016,2020-07-10 15:49:26,"59,28,21,54,111","106,22,44,5,102",True
5506624010,2020-07-10 15:49:22,"109,78,63,5,126","97,38,93,39,86",False
5506623700,2020-07-10 15:48:57,"28,21,48,19,37","26,128,54,35,14",True
5506623509,2020-07-10 15:48:52,"93,51,3,9,23","65,53,107,19,109",False
5506623415,2020-07-10 15:48:36,"25,85,46,93,39","126,62,53,41,84",True
5506623309,2020-07-10 15:48:28,"47,106,20,21,36","56,19,48,37,13",False
5506623307,2020-07-10 15:48:22,"11,86,95,108,27","25,110,15,74,7",False
5506622711,2020-07-10 15:47:52,"9,39,90,42,93","68,98,70,49,64",True
5506622705,2020-07-10 15:47:43,"8,119,3,53,92","47,104,25,110,109",False
5506622616,2020-07-10 15:47:32,"10,110,29,39,86","93,21,3,70,17",False
5506622216,2020-07-10 15:47:17,"126,109,101,62,103","22,111,14,18,53",False
5506622108,2020-07-10 15:47:07,"109,39,106,40,1","87,70,63,32,25",True
5506622104,2020-07-10 15:47:02,"1,98,9,84,43","12,14,77,111,100",True
5506621807,2020-07-10 15:46:47,"7,70,9,85,110","114,10,45,21,36",True
5506621701,2020-07-10 15:46:38,"51,5,19,53,93","39,70,100,31,98",True
5506621609,2020-07-10 15:46:37,"112,120,2,93,17","128,72,114,84,16",False
5506621312,2020-07-10 15:46:02,"74,42,26,97,40","113,8,28,36,14",False
5506621108,2020-07-10 15:45:48,"22,129,12,66,46","53,100,64,32,110",True
5506621006,2020-07-10 15:45:47,"84,62,11,63,1","37,16,49,75,6",False
5506620717,2020-07-10 15:45:07,"71,35,21,109,112","84,14,106,86,74",True
5506620505,2020-07-10 15:45:17,"106,90,16,95,91","87,114,92,9,1",False
5506620401,2020-07-10 15:45:07,"67,106,84,5,98","1,31,80,76,71",True
5506620204,2020-07-10 15:44:42,"82,26,10,21,5","106,39,30,7,34",False
5506620119,2020-07-10 15:44:17,"48,46,86,109,28","14,70,107,84,40",False
5506619208,2020-07-10 15:43:47,"39,67,53,51,84","126,11,68,42,19",True
5506619102,2020-07-10 15:43:37,"30,42,15,28,51","22,99,41,121,3",True
5506618918,2020-07-10 15:43:12,"12,27,53,39,88","10,31,98,6,128",True
5506618819,2020-07-10 15:43:01,"61,120,39,109,27","68,70,59,107,13",True
5506618717,2020-07-10 15:43:11,"64,44,106,74,53","69,94,34,31,5",False
5506618508,2020-07-10 15:42:21,"13,83,16,9,8","53,19,39,93,84",True
5506618408,2020-07-10 15:42:16,"17,69,22,86,70","15,65,7,120,41",False
5506618107,2020-07-10 15:42:06,"39,106,26,14,29","120,97,3,10,23",False
5506617905,2020-07-10 15:42:11,"46,88,112,93,53","104,23,126,30,70",True
5506617111,2020-07-10 15:41:02,"35,20,6,126,60","102,10,39,104,27",True
5506617101,2020-07-10 15:41:17,"22,93,84,120,126","106,21,19,36,121",False
5506616900,2020-07-10 15:41:02,"61,121,32,51,28","19,20,25,53,67",True
5506616810,2020-07-10 15:40:36,"69,48,35,84,106","67,37,6,46,111",True
5506616715,2020-07-10 15:40:46,"47,21,23,27,48","28,80,31,9,106",False
5506616505,2020-07-10 15:40:27,"126,22,1,3,76","14,67,16,74,128",False
5506616310,2020-07-10 15:40:12,"35,52,10,98,111","16,26,12,21,17",False
5506616114,2020-07-10 15:39:56,"46,83,31,54,29","7,5,20,67,11",True
5506616004,2020-07-10 15:39:56,"35,126,8,99,20","30,44,3,55,72",False
5506615814,2020-07-10 15:39:26,"126,2,30,93,50","65,14,95,120,84",True
5506614910,2020-07-10 15:38:36,"85,74,41,28,3","22,120,87,95,37",False
5506614800,2020-07-10 15:38:11,"101,87,41,7,11","119,49,129,44,110",True
5506614716,2020-07-10 15:38:11,"112,70,92,110,25","51,9,39,106,104",True
5506614513,2020-07-10 15:38:01,"120,68,54,86,39","16,88,9,58,32",True
5506614407,2020-07-10 15:37:51,"20,84,126,46,35","21,86,19,8,43",True
5506614400,2020-07-10 15:38:01,"53,6,129,51,62","126,47,42,101,7",True
5506614219,2020-07-10 15:37:27,"73,129,84,14,70","105,47,8,40,112",True
5506613913,2020-07-10 15:37:21,"45,104,75,21,70","9,26,53,95,86",False
5506613814,2020-07-10 15:37:15,"129,110,42,79,93","37,50,54,34,21",True
5506613206,2020-07-10 15:36:37,"36,48,104,64,22","13,67,52,126,7",False
5506612816,2020-07-10 15:35:41,"128,39,106,69,48","1,65,126,36,55",True
5506612411,2020-07-10 15:35:41,"33,63,47,27,101","9,120,42,40,80",False
5506612011,2020-07-10 15:35:11,"11,121,48,2,39","56,126,106,69,33",False
5506611606,2020-07-10 15:34:45,"35,93,76,45,16","109,51,14,64,101",True
5506611508,2020-07-10 15:34:36,"65,34,42,58,64","74,10,120,84,9",True
5506611118,2020-07-10 15:33:46,"98,88,17,64,42","112,39,41,126,45",False
5506610719,2020-07-10 15:33:31,"72,40,38,114,84","77,96,30,63,52",True
5506610403,2020-07-10 15:33:01,"101,104,105,11,114","47,8,14,19,119",False
5506609912,2020-07-10 15:32:36,"87,101,114,16,14","3,93,34,21,100",True
5506609704,2020-07-10 15:32:30,"100,3,4,67,38","21,106,25,41,104",True
5506608606,2020-07-10 15:31:11,"69,5,84,76,42","48,7,27,70,14",True
5506608204,2020-07-10 15:30:40,"47,28,112,8,4","48,17,53,121,83",True
5506607804,2020-07-10 15:30:12,"9,49,21,33,10","120,35,27,39,70",True
5506607519,2020-07-10 15:29:50,"75,8,19,61,99","78,39,63,12,7",True
5506607302,2020-07-10 15:29:25,"23,68,119,95,51","39,83,31,120,109",True
5506607108,2020-07-10 15:29:16,"17,9,30,109,47","22,4,5,107,129",True
5506606215,2020-07-10 15:28:16,"126,43,66,47,1","64,96,70,39,19",True
5506606109,2020-07-10 15:28:06,"106,126,95,39,27","38,8,83,59,64",False
5506606105,2020-07-10 15:28:00,"120,106,12,25,31","114,81,39,30,56",True
5506605606,2020-07-10 15:27:31,"5,8,104,121,53","54,86,102,105,16",True
5506605602,2020-07-10 15:27:26,"5,104,95,70,17","31,7,107,26,93",False
5506605303,2020-07-10 15:27:05,"8,39,36,86,121","5,105,70,114,51",False
5506605213,2020-07-10 15:27:01,"8,35,101,52,19","119,110,106,12,96",False
5506605208,2020-07-10 15:26:56,"83,46,9,10,39","93,25,69,87,104",False
5506605200,2020-07-10 15:27:05,"21,121,80,1,23","45,10,93,53,120",False
5506604603,2020-07-10 15:26:21,"14,42,26,95,39","68,21,62,114,10",True
5506604001,2020-07-10 15:25:21,"44,4,74,26,38","13,91,121,106,59",True
5506603916,2020-07-10 15:25:25,"23,74,21,29,128","31,97,121,39,10",True
5506603612,2020-07-10 15:25:11,"64,114,120,45,51","39,3,7,42,11",False
5506603609,2020-07-10 15:25:10,"104,68,93,87,39","37,13,88,109,11",False
5506603413,2020-07-10 15:24:55,"53,104,67,30,51","13,1,7,68,126",True
5506603402,2020-07-10 15:25:00,"37,74,67,36,19","7,101,8,110,23",False
5506603000,2020-07-10 15:24:25,"83,70,64,4,104","23,53,94,119,63",True
5506602818,2020-07-10 15:23:55,"86,107,31,93,126","105,67,90,80,76",False
5506602206,2020-07-10 15:23:15,"126,64,65,27,42","104,83,1,39,86",False
5506602110,2020-07-10 15:23:25,"39,70,16,49,112","120,14,106,35,43",False
5506601806,2020-07-10 15:23:05,"86,41,102,106,42","84,126,70,9,45",False
5506601803,2020-07-10 15:23:04,"54,13,33,87,74","14,51,64,84,8",True
5506601413,2020-07-10 15:22:35,"8,79,7,69,76","84,107,39,9,41",False
5506601407,2020-07-10 15:22:20,"84,51,60,39,70","87,62,30,1,93",True
5506600910,2020-07-10 15:22:00,"74,114,3,49,86","5,42,11,56,71",False
5506600710,2020-07-10 15:21:45,"109,39,23,126,64","106,13,87,50,15",True
5506600310,2020-07-10 15:21:04,"64,128,39,1,65","70,13,119,96,101",False
5506599815,2020-07-10 15:20:35,"25,106,110,40,32","12,21,46,31,121",True
5506599406,2020-07-10 15:20:09,"18,101,84,16,40","70,57,129,86,121",True
5506599217,2020-07-10 15:19:55,"119,7,42,45,1","58,63,94,39,69",True
5506599204,2020-07-10 15:19:44,"93,99,50,23,21","67,19,106,38,87",True
5506599202,2020-07-10 15:19:44,"128,104,11,31,95","86,15,70,91,16",False
5506598918,2020-07-10 15:19:35,"1,73,58,7,104","70,71,9,39,86",False
5506598400,2020-07-10 15:18:55,"87,83,39,32,42","7,1,88,76,29",True
5506597801,2020-07-10 15:18:05,"39,84,114,41,97","70,23,31,86,21",True
5506597707,2020-07-10 15:18:04,"105,10,21,82,35","87,74,129,95,121",False
5506597611,2020-07-10 15:17:50,"37,75,128,77,18","39,108,50,22,8",False
5506597519,2020-07-10 15:17:55,"108,112,86,41,22","13,84,120,8,21",False
5506597500,2020-07-10 15:17:45,"47,51,44,30,119","36,41,121,114,9",True
5506597419,2020-07-10 15:17:39,"42,31,64,14,45","35,29,50,94,74",False
5506597116,2020-07-10 15:16:49,"106,96,68,10,51","126,9,12,103,26",True
5506596905,2020-07-10 15:17:10,"35,129,106,120,36","25,46,71,73,99",True
5506596604,2020-07-10 15:16:50,"1,110,64,44,16","45,104,12,25,68",False
5506596018,2020-07-10 15:16:04,"83,82,21,93,102","23,104,42,121,79",True
5506595918,2020-07-10 15:15:54,"34,38,9,111,67","10,30,106,129,26",False
5506595413,2020-07-10 15:15:05,"11,110,93,87,7","31,102,13,28,70",True
5506595116,2020-07-10 15:14:49,"49,58,74,26,93","1,25,70,16,41",True
5506595105,2020-07-10 15:14:59,"109,2,39,83,22","40,19,68,93,46",True
5506594807,2020-07-10 15:14:35,"112,36,27,12,47","13,63,86,10,99",True
5506594611,2020-07-10 15:14:10,"120,54,30,65,21","3,19,1,56,23",True
5506594111,2020-07-10 15:13:34,"120,4,30,39,106","5,27,43,70,2",False
5506593319,2020-07-10 15:12:49,"43,44,94,51,108","70,36,75,9,30",False
5506593006,2020-07-10 15:12:29,"129,4,87,21,50","58,51,70,64,35",False
5506592914,2020-07-10 15:12:24,"102,8,13,119,104","101,84,121,70,7",True
5506592813,2020-07-10 15:12:14,"93,32,46,7,35","67,87,65,22,16",False
5506592618,2020-07-10 15:11:59,"64,23,67,22,7","121,5,32,43,129",True
5506592112,2020-07-10 15:11:23,"109,74,84,5,14","22,19,9,44,99",False
5506591505,2020-07-10 15:10:28,"10,39,74,93,86","110,8,106,37,35",False
5506591003,2020-07-10 15:10:03,"114,49,34,45,64","61,96,31,10,21",False
5506590214,2020-07-10 15:09:03,"86,45,110,28,1","70,14,35,25,83",False
5506590010,2020-07-10 15:08:49,"41,59,64,2,85","23,1,104,37,63",True
5506589302,2020-07-10 15:07:28,"106,98,86,43,27","87,67,15,29,62",True
5506589201,2020-07-10 15:07:54,"9,27,6,2,74","93,129,39,13,20",False
5506588508,2020-07-10 15:06:58,"101,47,4,1,31","11,14,42,102,119",True
5506588507,2020-07-10 15:06:53,"75,93,104,10,110","64,63,101,2,45",True
5506588213,2020-07-10 15:06:44,"88,105,113,40,80","87,60,17,70,100",True
5506587815,2020-07-10 15:06:14,"64,42,107,70,126","108,6,14,36,31",True
5506587807,2020-07-10 15:06:04,"32,18,79,85,94","84,26,114,8,67",False
5506587504,2020-07-10 15:05:49,"50,74,88,93,2","31,25,98,70,64",True
